Stock,PCR,TradeDate
BAJAJ-AUTO,0.806184,2019-10-23
BAJAJ-AUTO,0.854666,2019-10-24
BAJAJ-AUTO,0.811019,2019-10-25
BAJAJ-AUTO,0.751479,2019-10-29
BAJAJ-AUTO,0.820734,2019-10-30
BAJAJ-AUTO,0.991625,2019-10-31
BAJAJ-AUTO,0.731113,2019-11-01
BAJAJ-AUTO,0.704898,2019-11-04
BAJAJ-AUTO,0.850111,2019-11-05
BAJAJ-AUTO,0.896132,2019-11-06
BAJAJ-AUTO,0.913470,2019-11-07
BAJAJ-AUTO,1.044956,2019-11-08
BAJAJ-AUTO,0.957918,2019-11-11
BAJAJ-AUTO,0.872549,2019-11-13
BAJAJ-AUTO,1.042841,2019-11-14
BAJAJ-AUTO,0.918542,2019-11-15
BAJAJ-AUTO,0.717348,2019-11-18
BAJAJ-AUTO,0.729103,2019-11-19
BAJAJ-AUTO,0.682664,2019-11-20
BAJAJ-AUTO,0.755278,2019-11-21
BAJAJ-AUTO,0.670719,2019-11-22
BAJAJ-AUTO,0.600000,2019-11-25
BAJAJ-AUTO,0.568181,2019-11-26
BAJAJ-AUTO,0.625790,2019-11-27
BAJAJ-AUTO,0.561624,2019-11-28
BAJAJ-AUTO,0.600446,2019-11-29
BAJAJ-AUTO,0.599681,2019-12-02
BAJAJ-AUTO,0.696397,2019-12-03
BAJAJ-AUTO,0.694392,2019-12-04
BAJAJ-AUTO,0.791086,2019-12-05
BAJAJ-AUTO,0.733878,2019-12-06
BAJAJFINSV,0.581863,2019-10-10
BAJAJFINSV,0.568102,2019-10-11
BAJAJFINSV,0.586440,2019-10-14
BAJAJFINSV,0.586319,2019-10-15
BAJAJFINSV,0.544633,2019-10-16
BAJAJFINSV,0.604208,2019-10-17
BAJAJFINSV,0.528804,2019-10-18
BAJAJFINSV,0.430406,2019-10-22
BAJAJFINSV,0.421215,2019-10-23
BAJAJFINSV,0.447457,2019-10-24
BAJAJFINSV,0.409903,2019-10-25
BAJAJFINSV,0.494880,2019-10-29
BAJAJFINSV,0.501390,2019-10-30
BAJAJFINSV,0.603351,2019-10-31
BAJAJFINSV,0.487544,2019-11-01
BAJAJFINSV,0.634591,2019-11-04
BAJAJFINSV,0.695020,2019-11-05
BAJAJFINSV,0.750271,2019-11-06
BAJAJFINSV,0.731127,2019-11-07
BAJAJFINSV,0.844142,2019-11-08
BAJAJFINSV,0.959636,2019-11-11
BAJAJFINSV,1.029090,2019-11-13
BAJAJFINSV,1.148794,2019-11-14
BAJAJFINSV,1.203748,2019-11-15
BAJAJFINSV,1.250386,2019-11-18
BAJAJFINSV,1.278382,2019-11-19
BAJAJFINSV,1.265974,2019-11-20
BAJAJFINSV,1.243883,2019-11-21
BAJAJFINSV,1.289428,2019-11-22
BAJAJFINSV,1.264521,2019-11-25
BAJAJFINSV,1.198362,2019-11-26
BAJAJFINSV,1.106046,2019-11-27
BAJAJFINSV,1.184693,2019-11-28
BAJAJFINSV,0.745583,2019-11-29
BAJAJFINSV,0.765333,2019-12-02
BAJAJFINSV,0.740022,2019-12-03
BAJAJFINSV,0.777372,2019-12-04
BAJAJFINSV,0.765330,2019-12-05
BAJAJFINSV,0.711771,2019-12-06
BAJFINANCE,0.883175,2019-10-10
BAJFINANCE,0.888944,2019-10-11
BAJFINANCE,1.051204,2019-10-14
BAJFINANCE,1.275835,2019-10-15
BAJFINANCE,1.446083,2019-10-16
BAJFINANCE,1.454001,2019-10-17
BAJFINANCE,1.340563,2019-10-18
BAJFINANCE,0.998370,2019-10-22
BAJFINANCE,0.769726,2019-10-23
BAJFINANCE,0.718365,2019-10-24
BAJFINANCE,0.778691,2019-10-25
BAJFINANCE,0.830373,2019-10-29
BAJFINANCE,1.062458,2019-10-30
BAJFINANCE,1.214455,2019-10-31
BAJFINANCE,1.162879,2019-11-01
BAJFINANCE,1.245681,2019-11-04
BAJFINANCE,1.319715,2019-11-05
BAJFINANCE,1.178506,2019-11-06
BAJFINANCE,1.217873,2019-11-07
BAJFINANCE,1.173966,2019-11-08
